27-Co-60;1173.237,1332.501;99.9736,99.9856
31-Ga-67;93.311,184.577,208.951,300.219,393.529;39.2,21.2,2.40,16.80,4.68
43-Tc-99m;140.511;89.06
53-I-131;284.305,364.489,636.989,722.911;6.14,81.7,7.17,1.7729
55-Cs-137;661.657;85.1
56-Ba-133;80.997,276.400,302.851,356.013,383.848;34.06,7.164,18.33,62.05,8.94
81-Tl-201;68.9,70.8,80.3,135.3,167.4;27.4,46.5,20.5,2.7,10.0
88-Ra-226;77.1079,88.3,186.211,241.997,295.224,351.932,609.312;10.7,4.78,3.533,7.43,19.30,37.6,46.1
90-Th-232;77.1079,89.953,93.350,105.609,238.632,338.320,510.77,583.191,911.204,964.766,968.971;2,2,2,2,43.3,11.27,22.6,84.5,25.8,4.99,15.8
92-U-235;84.214,89.95,93.02,97.55,99.278,102.270,109.16,140.76,143.76,163.33,182.61,185.715,194.94,202.11,205.311,221.38;6.6,0.94,0.045,0.023,0.120,0.41,1.54,0.22,10.96,5.08,0.34,57.2,0.63,1.08,5.01,0.12
92-U-238;63.29,94.665,98.439,111.300,113.5,186.15,1001.7;4.8,2,2,2,0.0174,23.3,0.838
94-Pu-239;59.5409,98.95,115.38,116.26,129.296,203.550,332.845,336.113,345.013,375.054,393.14,413.713;35.78,0.0203,0.000462,0.000597,0.006310,0.000569,0.000494,0.000112,0.000556,0.001554,0.000348,0.001466
95-Am-241;59.5409;35.78
