27-Co-60;1173.237,1332.501;99.9736,99.9856;
31-Ga-67;93.311,184.577,208.951,300.219,393.529;39.2,21.2,2.40,16.80,4.68;
43-Tc-99m;140.511;89.06;
53-I-131;284.305,364.489,636.989,722.911;6.14,81.7,7.17,1.7729;80.185
55-Cs-137;661.657;85.1;
56-Ba-133;53.162,80.997,160.611,276.400,302.851,356.013,383.848;2.199,34.06,0.645,7.164,18.33,62.05,8.94;
81-Tl-201;135.3,167.4;2.7,10.0;68.9,70.8,72.8,82.5,83.1,84.9,85.5
88-Ra-226;186.211,241.997,295.224,351.932,609.312,768.361,1120.276;3.533,7.43,19.30,37.6,46.1,4.88,15.0;46.5,53.2,74.8,77.1079,88.3
90-Th-232;209.4,238.632,338.320,510.77,583.191,727,911.204,964.766,968.971,1587.9;4.6,43.3,11.27,7.9,30.7,7.35,26.6,5.5,16.23,3.26;77.1079,89.953,93.350,104.5,105.609,106.3,108.6,109.6
92-U-235;84.214,109.16,120.35,140.76,143.76,163.33,182.61,185.715,194.94,202.11,205.311,221.38;6.6,1.54,0.026,0.22,10.96,5.08,0.34,57.2,0.63,1.08,5.01,0.12;84.214,89.95,93.02,97.55,99.278,102.270,111.8
92-U-238;63.29,113.5,186.15,766.36,1001.7;4.8,0.0174,23.3,0.294,0.838;93.8,94.65,98.43,110.4,111.8,112.05,114.33,115.61
94-Pu-239;59.5409,129.296,203.550,332.845,336.113,345.013,375.054,393.14,413.713;0.0005,0.006310,0.000569,0.000494,0.000112,0.000556,0.001554,0.000348,0.001466;98.68,99.5,103.7,115.8,116.24,117.2,117,120.23,121.7
95-Am-241;26.3446,33.1963,59.5409,98.95,102.97,123.02,125.29,146.57,169.55,208.00,322.53,335.40,368.63,662.41;2.40,0.121,35.78,0.0203,0.0195,0.00100,0.0041,0.00046,0.00017,0.000786,0.000151,0.000496,0.000214,0.000367;
